,FIPS_ST,FIPS_CTY,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014
779,18,151,0.027936229340353957,0.030733410942956927,0.030057126116888825,0.025783442469597753,0.023258515055605562
780,18,153,0.012829443863926622,0.012359939933002195,0.020016292330967068,0.013254786450662739,0.00977620730270907
782,18,157,0.028944322259520778,0.030916199766213875,0.03193816203836244,0.03150138960138453,0.028518240671278932
783,18,159,0.014871987951807228,0.02141474683149154,0.01843783544863295,0.01441786283891547,0.008906830706138664
785,18,163,0.03841894681780493,0.05047911953841852,0.05633957730510855,0.04011844545839823,0.04606886696529171
786,18,165,0.014865531704909942,0.009634857318195765,0.01154649305982066,0.015894782771302126,0.0258457659172095
787,18,167,0.0764168791642675,0.053792009151375934,0.05076436818680256,0.04388309094489296,0.041636079582886294
788,18,169,0.013013865239601071,0.019329339838201693,0.02447839658288155,0.017199579159233338,0.012195681078354958
790,18,173,0.015027894586942318,0.01721838850551722,0.018159566022757343,0.015370957931249898,0.015391631512940372
792,18,177,0.03027726818500455,0.033314042351125554,0.03309498574392811,0.007837774739018777,0.012344013490725126
793,18,179,0.019539730785931395,0.024624689491305758,0.021494554473239637,0.022865798679987018,0.017148597259094497
794,18,181,0.007791259181106197,0.009649158221971012,0.012918331920390779,0.006308114529144308,0.003806483300589391
795,18,183,0.02180744690981811,0.02198010421601137,0.020350212967345006,0.01777273586689355,0.01845018450184502
796,19,1,0.007810466024472794,0.00764050764050764,0.01019057702488089,0.0064516129032258064,0.008072110856989103
797,19,3,0.02084884586746091,0.015061728395061728,0.015920398009950248,0.006436663233779609,0.0108499095840868
799,19,7,0.023977651897260806,0.03041531573259225,0.03300381412002802,0.027216787630167244,0.02824903337804782
800,19,9,0.011276352345154436,0.013260173754000914,0.012529002320185615,0.00972862263184844,0.0061770761839396015
801,19,11,0.009132614051482456,0.01153553621228767,0.012179649835067242,0.015230383651436284,0.002760286379711895
802,19,13,0.03193988862613472,0.027334056777738147,0.03172067030645393,0.026411616276082982,0.034237008110543705
803,19,15,0.014673458526571885,0.02072303736197247,0.016693857419281404,0.015590455134558206,0.01535552193645991
804,19,17,0.009474377986488713,0.012703356144736304,0.010051282051282051,0.008939455505891914,0.009733834161315078
805,19,19,0.01049718484588224,0.014334535788874121,0.009251863684771032,0.006701289998324677,0.001949966707885475
806,19,21,0.01949654491609082,0.019591475989394088,0.018598974859653405,0.019148217817006704,0.015580393864615088
807,19,23,0.0007398937243559561,0.0017397122783539645,0.0010668800426752018,0.0010629110476317013,0.0008620118029308402
808,19,25,0.008686659772492245,0.010287007509515483,0.002173238124805961,0.006295694557270512,0.007483818770226537
809,19,27,0.011625672559569563,0.015557306025994486,0.013575996064928677,0.013015618742490988,0.006996404625400836
810,19,29,0.0176268271711092,0.0173212630978687,0.016725542498738376,0.014903565166569257,0.015209686946249261
811,19,31,0.008703173144494297,0.007636050763605076,0.010286394889285908,0.010738752082947603,0.009402173913043477
812,19,33,0.028742270843242507,0.03888963994412149,0.039629999093135033,0.034547322753739014,0.031012381980657464
813,19,35,0.01648442677269715,0.013020189534404614,0.010647078243644767,0.010735553132600856,0.009141994464480416
814,19,37,0.002411769434842029,0.00807799442896936,0.006721613187164919,0.005138243210178615,0.006167829897743873
815,19,39,0.016368727116088735,0.01542581681842528,0.016716354344122657,0.020813422533715622,0.017112299465240642
816,19,41,0.020219595608087837,0.020114599498627192,0.016812777711060406,0.018459503337141484,0.019708914493632504
817,19,43,0.003364774670417563,0.002908252853380158,0.003981420039814201,0.00398921227104169,0.0027072758037225042
818,19,45,0.03426581969215734,0.03544447370020051,0.03391931714256681,0.030281878092344332,0.034604724279154425
819,19,47,0.006083294337856809,0.004305830327010357,0.003286439114391144,0.009132157831256102,0.004274478513621338
820,19,49,0.018719286308308762,0.018336065943653074,0.01699826431225166,0.015913112783173707,0.01640175194624592
821,19,51,0.004341368673597624,0.00477326968973747,0.0028341457884593583,0.004492052522460262,0.002838006584175275
