,Population,Hispanic_Latino,White,Black,Asian,Urban,NAME,state,county,Hispanic_Latino_share,White_share,Black_share,Asian_share
21,80406,3454,74568,821,339,0,Cullman County,01,043,0.042956993259209514,0.9273934780986494,0.01021068079496555,0.004216103275874935
22,50251,2821,35705,9546,527,0,Dale County,01,045,0.056138186304750155,0.710533123718931,0.18996636882848103,0.010487353485502776
23,43820,309,12676,30314,144,0,Dallas County,01,047,0.007051574623459607,0.28927430397078957,0.6917845732542218,0.0032861706983112735
24,71109,9690,57997,1029,166,0,DeKalb County,01,049,0.13626967050584315,0.8156070258335795,0.014470742100156099,0.0023344443038152696
25,79303,2129,59449,15814,514,0,Elmore County,01,051,0.026846399253496085,0.7496437713579562,0.19941238036392067,0.006481469805682005
26,38319,718,23508,12162,86,0,Escambia County,01,053,0.018737440956183616,0.6134815626712596,0.3173882408204807,0.0022443174404342494
27,104430,3447,82789,15716,657,0,Etowah County,01,055,0.03300775639184143,0.7927702767404002,0.15049315330843627,0.00629129560471129
28,17241,204,14832,1958,37,0,Fayette County,01,057,0.011832260309726814,0.8602749260483731,0.11356649846296618,0.002146047213038687
29,31704,4710,25249,1211,51,0,Franklin County,01,059,0.14856169568508706,0.7963979308604593,0.03819707292455211,0.0016086298258894778
30,26790,920,22692,2523,64,0,Geneva County,01,061,0.03434117207913401,0.8470324748040313,0.09417693169092946,0.002388951101157148
31,9045,69,1562,7349,15,0,Greene County,01,063,0.0076285240464344945,0.1726920950801548,0.8124930901050305,0.001658374792703151
32,15760,140,6213,9265,35,0,Hale County,01,065,0.008883248730964468,0.3942258883248731,0.5878807106598984,0.002220812182741117
33,17302,389,11731,4915,45,0,Henry County,01,067,0.022482949947982892,0.6780141024159057,0.2840712056409664,0.00260085539244018
34,101547,2995,69731,26038,806,0,Houston County,01,069,0.029493731966478576,0.6866869528395718,0.2564132864584872,0.007937211340561513
35,53227,1339,47937,1771,165,0,Jackson County,01,071,0.025156405583632368,0.9006143498600334,0.033272587220771414,0.0030999304864072746
