STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	1	1	1	56219	54571	3	4	100	143	1521	0	14	26	103	211	1232	78	1
9999	2	4	2	1	3	182265	182265	13	13	94.7822	385	4161	3	30	53	300	677	3340	144	6
9999	2	4	3	1	5	27457	27178	6	5	100	25	455	1	5	6	13	15	430	10	0
9999	2	4	4	1	7	22866	22915	5	6	100	59	408	0	5	8	46	89	291	28	0
9999	2	4	5	1	9	57322	57322	6	6	79.7107	24	305	0	3	0	21	38	249	18	0
9999	2	4	6	1	11	10914	10914	2	2	100	25	105	0	0	1	24	41	62	2	0
9999	2	4	7	1	13	20955	20947	4	4	100	66	544	1	3	8	54	102	409	33	0
9999	2	4	8	1	15	122530	118572	8	10	100	511	4652	7	41	98	365	1517	2953	182	8
9999	2	4	9	1	17	34215	18995	4	3	100	107	1340	0	8	7	92	86	1201	53	0
9999	2	4	10	1	19	25968	25989	4	5	100	84	687	1	6	4	73	134	489	64	0
9999	2	4	11	1	21	43547	43643	5	6	83.0127	214	1190	0	7	9	198	146	993	51	0
9999	2	4	12	1	23	13859	13638	4	3	100	18	64	0	0	2	16	34	27	3	0
9999	2	4	13	1	25	25833	25833	5	5	100	117	262	8	8	5	96	98	142	22	1
9999	2	4	14	1	27	13932	13932	3	3	100	28	76	0	0	0	28	7	67	2	0
9999	2	4	15	1	29	14972	14972	3	3	100	39	269	0	10	1	28	98	149	22	0
9999	2	4	16	1	31	50371	49948	5	5	100	181	1238	5	13	28	135	341	823	74	4
9999	2	4	17	1	33	54428	54428	7	7	96.7798	127	1289	0	13	20	94	308	924	57	1
9999	2	4	18	1	35	13220	12645	3	3	100	68	308	0	5	8	55	85	211	12	0
9999	2	4	19	1	37	11539	10064	3	2	68.2466	0	3	0	0	0	0	0	3	0	0
9999	2	4	20	1	39	37765	37765	9	9	100	85	774	1	8	0	76	111	630	33	1
9999	2	4	21	1	41	13906	10590	5	2	100	34	138	0	2	0	32	4	120	14	0
