,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,local_code
61,3892,KSMF,large_airport,Sacramento International Airport,38.6954,-121.591,27,US-CA,Sacramento,KSMF,SMF,SMF
62,3755,KORF,large_airport,Norfolk International Airport,36.8946,-76.2012,26,US-VA,Norfolk,KORF,ORF,ORF
63,3432,KBUR,medium_airport,Bob Hope Airport,34.2007,-118.359,778,US-CA,Burbank,KBUR,BUR,BUR
64,3644,KLGB,medium_airport,Long Beach /Daugherty Field/ Airport,33.8177,-118.152,60,US-CA,Long Beach,KLGB,LGB,LGB
65,3751,KOMA,medium_airport,Eppley Airfield,41.3032,-95.8941,984,US-NE,Omaha,KOMA,OMA,OMA
66,3795,KPVD,medium_airport,Theodore Francis Green State Airport,41.7326,-71.4204,55,US-RI,Providence,KPVD,PVD,PVD
67,3757,KOSH,medium_airport,Wittman Regional Airport,43.9844,-88.557,808,US-WI,Oshkosh,KOSH,OSH,OSH
68,3873,KSDF,large_airport,Louisville International Standiford Field,38.1744,-85.736,501,US-KY,Louisville,KSDF,SDF,SDF
69,3450,KCHS,large_airport,Charleston Air Force Base-International Airport,32.8986,-80.0405,46,US-SC,Charleston,KCHS,CHS,CHS
70,3913,KSYR,large_airport,Syracuse Hancock International Airport,43.1112,-76.1063,421,US-NY,Syracuse,KSYR,SYR,SYR
71,3752,KONT,large_airport,Ontario International Airport,34.056,-117.601,944,US-CA,Ontario,KONT,ONT,ONT
72,3847,KRIC,large_airport,Richmond International Airport,37.5052,-77.3197,167,US-VA,Richmond,KRIC,RIC,RIC
73,3371,KALB,medium_airport,Albany International Airport,42.7483,-73.8017,285,US-NY,Albany,KALB,ALB,ALB
74,3589,KHPN,medium_airport,Westchester County Airport,41.067,-73.7076,439,US-NY,White Plains,KHPN,HPN,HPN
75,3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535,650,US-AL,Birmingham,KBHM,BHM,BHM
76,3421,KBOI,large_airport,Boise Air Terminal/Gowen field,43.5644,-116.223,2871,US-ID,Boise,KBOI,BOI,BOI
77,3481,KDAY,large_airport,James M Cox Dayton International Airport,39.9024,-84.2194,1009,US-OH,Dayton,KDAY,DAY,DAY
78,3864,KSAV,large_airport,Savannah Hilton Head International Airport,32.1276,-81.2021,50,US-GA,Savannah,KSAV,SAV,SAV
79,3552,KGEG,large_airport,Spokane International Airport,47.6199,-117.534,2376,US-WA,Spokane,KGEG,GEG,GEG
80,3796,KPWM,large_airport,Portland International Jetport Airport,43.6462,-70.3093,76,US-ME,Portland,KPWM,PWM,PWM
81,3684,KMHT,large_airport,Manchester Airport,42.9326,-71.4357,266,US-NH,Manchester,KMHT,MHT,MHT
82,3855,KROC,large_airport,Greater Rochester International Airport,43.1189,-77.6724,559,US-NY,Rochester,KROC,ROC,ROC
83,3858,KRSW,large_airport,Southwest Florida International Airport,26.5362,-81.7552,30,US-FL,Fort Myers,KRSW,RSW,RSW
84,3866,KSBA,medium_airport,Santa Barbara Municipal Airport,34.4262,-119.84,13,US-CA,Santa Barbara,KSBA,SBA,SBA
85,3605,KICT,large_airport,Wichita Mid Continent Airport,37.6499,-97.4331,1333,US-KS,Wichita,KICT,ICT,ICT
86,3707,KMSN,large_airport,Dane County Regional Truax Field,43.1399,-89.3375,887,US-WI,Madison,KMSN,MSN,MSN
87,3430,KBTV,medium_airport,Burlington International Airport,44.4719,-73.1533,335,US-VT,Burlington,KBTV,BTV,BTV
88,3566,KGRR,medium_airport,Gerald R. Ford International Airport,42.8808,-85.5228,794,US-MI,Grand Rapids,KGRR,GRR,GRR
89,3496,KDSM,large_airport,Des Moines International Airport,41.534,-93.6631,958,US-IA,Des Moines,KDSM,DSM,DSM
90,3930,KTUL,large_airport,Tulsa International Airport,36.1984,-95.8881,677,US-OK,Tulsa,KTUL,TUL,TUL
91,3401,KBFI,large_airport,Boeing Field King County International Airport,47.53,-122.302,21,US-WA,Seattle,KBFI,BFI,BFI
92,3463,KCOS,large_airport,City of Colorado Springs Municipal Airport,38.8058,-104.701,6187,US-CO,Colorado Springs,KCOS,COS,COS
93,5448,PHKO,medium_airport,Ellison Onizuka Kona International At Keahole Airport,19.7388,-156.0456,47,US-HI,Kailua/Kona,PHKO,KOA,KOA
94,3645,KLIT,large_airport,Bill & Hillary Clinton National Airport/Adams Field,34.7294,-92.2243,262,US-AR,Little Rock,KLIT,LIT,LIT
95,3792,KPSP,medium_airport,Palm Springs International Airport,33.8297,-116.507,477,US-CA,Palm Springs,KPSP,PSP,PSP
96,3568,KGSO,large_airport,Piedmont Triad International Airport,36.0978,-79.9373,925,US-NC,Greensboro,KGSO,GSO,GSO
97,3705,KMRY,medium_airport,Monterey Peninsula Airport,36.587,-121.843,257,US-CA,Monterey,KMRY,MRY,MRY
98,21321,KVGT,medium_airport,North Las Vegas Airport,36.2107,-115.194,2205,US-NV,Las Vegas,KVGT,VGT,VGT
99,3783,KPNS,medium_airport,Pensacola Regional Airport,30.4734,-87.1866,121,US-FL,Pensacola,KPNS,PNS,PNS
100,3920,KTEB,medium_airport,Teterboro Airport,40.8501,-74.0608,9,US-NJ,Teterboro,KTEB,TEB,TEB
101,21087,KSMO,small_airport,Santa Monica Municipal Airport,34.0158,-118.451,177,US-CA,Santa Monica,KSMO,SMO,SMO
102,3838,KRAP,medium_airport,Rapid City Regional Airport,44.0453,-103.057,3204,US-SD,Rapid City,KRAP,RAP,RAP
103,21333,KVNY,medium_airport,Van Nuys Airport,34.2098,-118.49,802,US-CA,Van Nuys,KVNY,VNY,VNY
104,3924,KTLH,large_airport,Tallahassee Regional Airport,30.3965,-84.3503,81,US-FL,Tallahassee,KTLH,TLH,TLH
105,3938,KTYS,large_airport,McGhee Tyson Airport,35.811,-83.994,981,US-TN,Knoxville,KTYS,TYS,TYS
106,3899,KSRQ,large_airport,Sarasota Bradenton International Airport,27.3954,-82.5544,30,US-FL,Sarasota/Bradenton,KSRQ,SRQ,SRQ
107,3524,KFAT,medium_airport,Fresno Yosemite International Airport,36.7762,-119.718,336,US-CA,Fresno,KFAT,FAT,FAT
108,3640,KLEX,large_airport,Blue Grass Airport,38.0365,-84.6059,979,US-KY,Lexington,KLEX,LEX,LEX
109,3522,KEYW,medium_airport,Key West International Airport,24.5561,-81.7596,3,US-FL,Key West,KEYW,EYW,EYW
110,3405,KBGR,large_airport,Bangor International Airport,44.8074,-68.8281,192,US-ME,Bangor,KBGR,BGR,BGR
111,3569,KGSP,large_airport,Greenville Spartanburg International Airport,34.8957,-82.2189,964,US-SC,Greenville,KGSP,GSP,GSP
112,3416,KBLI,medium_airport,Bellingham International Airport,48.7928,-122.538,170,US-WA,Bellingham,KBLI,BLI,BLI
113,3478,KDAB,large_airport,Daytona Beach International Airport,29.1799,-81.0581,34,US-FL,Daytona Beach,KDAB,DAB,DAB
114,3775,KPIE,medium_airport,St Petersburg Clearwater International Airport,27.9102,-82.6874,11,US-FL,St Petersburg-Clearwater,KPIE,PIE,PIE
115,3723,KNEW,medium_airport,Lakefront Airport,30.0424,-90.0283,8,US-LA,New Orleans,KNEW,NEW,NEW
116,20589,KMYF,small_airport,Montgomery-Gibbs Executive Airport,32.8157,-117.14,427,US-CA,San Diego,KMYF,MYF,MYF
117,21033,KSAF,medium_airport,Santa Fe Municipal Airport,35.6171,-106.089,6348,US-NM,Santa Fe,KSAF,SAF,SAF
118,3633,KLBB,large_airport,Lubbock Preston Smith International Airport,33.6636,-101.823,3282,US-TX,Lubbock,KLBB,LBB,LBB
119,3767,KPDK,medium_airport,DeKalb Peachtree Airport,33.8756,-84.302,1003,US-GA,Atlanta,KPDK,PDK,PDK
120,19291,KAPA,medium_airport,Centennial Airport,39.5701,-104.849,5885,US-CO,Denver,KAPA,APA,APA
121,5449,PHLI,medium_airport,Lihue Airport,21.976,-159.339,153,US-HI,Lihue,PHLI,LIH,LIH
122,19912,KFXE,medium_airport,Fort Lauderdale Executive Airport,26.1973,-80.1707,13,US-FL,Fort Lauderdale,KFXE,FXE,FXE
123,19517,KCMA,small_airport,Camarillo Airport,34.2137,-119.094,77,US-CA,Camarillo,KCMA,,CMA
124,3438,KCAE,large_airport,Columbia Metropolitan Airport,33.9388,-81.1195,236,US-SC,Columbia,KCAE,CAE,CAE
125,3377,KAMA,large_airport,Rick Husband Amarillo International Airport,35.2194,-101.706,3607,US-TX,Amarillo,KAMA,AMA,AMA
126,3449,KCHO,medium_airport,Charlottesville Albemarle Airport,38.1386,-78.4529,639,US-VA,Charlottesville,KCHO,CHO,CHO
127,3672,KMDT,medium_airport,Harrisburg International Airport,40.1935,-76.7634,310,US-PA,Harrisburg,KMDT,MDT,MDT
128,20187,KISM,medium_airport,Kissimmee Gateway Airport,28.2898,-81.4371,82,US-FL,Orlando,KISM,ISM,ISM
129,19292,KAPC,small_airport,Napa County Airport,38.2132,-122.281,35,US-CA,Napa,KAPC,APC,APC
130,3408,KBIL,large_airport,Billings Logan International Airport,45.8077,-108.543,3652,US-MT,Billings,KBIL,BIL,BIL
131,3448,KCHA,large_airport,Lovell Field,35.0353,-85.2038,683,US-TN,Chattanooga,KCHA,CHA,CHA
132,3439,KCAK,medium_airport,Akron Canton Regional Airport,40.9161,-81.4422,1228,US-OH,Akron,KCAK,CAK,CAK
133,19469,KCCR,small_airport,Buchanan Field,37.9897,-122.057,26,US-CA,Concord,KCCR,CCR,CCR
134,21055,KSEZ,small_airport,Sedona Airport,34.8486,-111.788,4830,US-AZ,Sedona,KSEZ,SDX,SEZ
135,3869,KSBP,medium_airport,San Luis County Regional Airport,35.2368,-120.642,212,US-CA,San Luis Obispo,KSBP,SBP,SBP
136,20384,KLVK,small_airport,Livermore Municipal Airport,37.6934,-121.82,400,US-CA,Livermore,KLVK,LVK,LVK
137,21045,KSDL,small_airport,Scottsdale Airport,33.6229,-111.911,1510,US-AZ,Scottsdale,KSDL,SCF,SDL
138,19552,KCRQ,medium_airport,Mc Clellan-Palomar Airport,33.1283,-117.28,331,US-CA,Carlsbad,KCRQ,CLD,CRQ
139,3451,KCID,large_airport,The Eastern Iowa Airport,41.8847,-91.7108,869,US-IA,Cedar Rapids,KCID,CID,CID
140,3616,KISP,medium_airport,Long Island Mac Arthur Airport,40.7952,-73.1002,99,US-NY,Islip,KISP,ISP,ISP
141,5457,PHTO,medium_airport,Hilo International Airport,19.7214,-155.048,38,US-HI,Hilo,PHTO,ITO,ITO
142,3861,KSAC,medium_airport,Sacramento Executive Airport,38.5125,-121.493,24,US-CA,Sacramento,KSAC,SAC,SAC
143,21114,KSTS,medium_airport,Charles M. Schulz Sonoma County Airport,38.509,-122.813,128,US-CA,Santa Rosa,KSTS,STS,STS
144,3594,KHSV,large_airport,Huntsville International Carl T Jones Field,34.6372,-86.7751,629,US-AL,Huntsville,KHSV,HSV,HSV
145,3562,KGRB,large_airport,Austin Straubel International Airport,44.4851,-88.1296,695,US-WI,Green Bay,KGRB,GRB,GRB
146,3879,KSGF,large_airport,Springfield Branson National Airport,37.2457,-93.3886,1268,US-MO,Springfield,KSGF,SGF,SGF
147,3517,KEUG,medium_airport,Mahlon Sweet Field,44.1246,-123.212,374,US-OR,Eugene,KEUG,EUG,EUG
148,20805,KPAO,small_airport,Palo Alto Airport of Santa Clara County,37.4611,-122.115,4,US-CA,Palo Alto,KPAO,PAO,PAO
149,21384,KWVI,small_airport,Watsonville Municipal Airport,36.9357,-121.79,163,US-CA,Watsonville,KWVI,WVI,WVI
150,3387,KAVL,large_airport,Asheville Regional Airport,35.4362,-82.5418,2165,US-NC,Asheville,KAVL,AVL,AVL
151,3789,KPRC,medium_airport,Ernest A. Love Field,34.6545,-112.42,5045,US-AZ,Prescott,KPRC,PRC,PRC
152,3388,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.3385,-75.7234,962,US-PA,Wilkes-Barre/Scranton,KAVP,AVP,AVP
153,3398,KBED,medium_airport,Laurence G Hanscom Field,42.47,-71.289,133,US-MA,Bedford,KBED,BED,BED
154,20765,KORL,small_airport,Orlando Executive Airport,28.5455,-81.3329,113,US-FL,Orlando,KORL,,ORL
155,3618,KJAC,medium_airport,Jackson Hole Airport,43.6073,-110.738,6451,US-WY,Jackson,KJAC,JAC,JAC
156,5360,PAFA,large_airport,Fairbanks International Airport,64.8151,-147.856,439,US-AK,Fairbanks,PAFA,FAI,FAI
157,21105,KSQL,small_airport,San Carlos Airport,37.5119,-122.25,5,US-CA,San Carlos,KSQL,SQL,SQL
158,3876,KSFB,large_airport,Orlando Sanford International Airport,28.7776,-81.2375,55,US-FL,Orlando,KSFB,SFB,SFB
159,3911,KSWF,medium_airport,Stewart International Airport,41.5041,-74.1048,491,US-NY,Newburgh,KSWF,SWF,SWF
160,20068,KHND,small_airport,Henderson Executive Airport,35.9728,-115.134,2492,US-NV,Las Vegas,KHND,HSH,HND
161,3700,KMOB,large_airport,Mobile Regional Airport,30.6912,-88.2428,219,US-AL,Mobile,KMOB,MOB,MOB
162,3559,KGNV,medium_airport,Gainesville Regional Airport,29.6901,-82.2718,152,US-FL,Gainesville,KGNV,GNV,GNV
163,20757,KOPF,medium_airport,Opa-locka Executive Airport,25.907,-80.2784,8,US-FL,Miami,KOPF,,OPF
164,19293,KAPF,medium_airport,Naples Municipal Airport,26.1526,-81.7753,8,US-FL,Naples,KAPF,APF,APF
165,3788,KPRB,medium_airport,Paso Robles Municipal Airport,35.6729,-120.627,840,US-CA,Paso Robles,KPRB,PRB,PRB
166,3857,KRST,large_airport,Rochester International Airport,43.9083,-92.5,1317,US-MN,Rochester,KRST,RST,RST
167,3868,KSBN,large_airport,South Bend Regional Airport,41.7087,-86.3173,799,US-IN,South Bend,KSBN,SBN,SBN
168,3530,KFLG,medium_airport,Flagstaff Pulliam Airport,35.1385,-111.671,7014,US-AZ,Flagstaff,KFLG,FLG,FLG
169,3571,KGTF,medium_airport,Great Falls International Airport,47.482,-111.371,3680,US-MT,Great Falls,KGTF,GTF,GTF
170,3628,KLAL,medium_airport,Lakeland Linder Regional Airport,27.9889,-82.0186,142,US-FL,Lakeland,KLAL,LAL,LAL
171,19237,KADS,small_airport,Addison Airport,32.9686,-96.8364,644,US-TX,Dallas,KADS,ADS,ADS
