STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	1	1	1	56490	54834	3	4	99.203	134	1698	2	13	36	83	361	1223	114	7
9999	2	4	2	1	3	183142	183142	14	14	99.0675	389	4879	2	40	66	280	1112	3562	205	11
9999	2	4	3	1	5	27589	27589	6	6	94.5174	45	713	0	10	6	29	116	582	15	4
9999	2	4	4	1	7	23074	10394	5	5	99.001	34	252	0	2	4	28	57	174	21	3
9999	2	4	5	1	9	57598	57598	6	6	99.5613	131	1282	3	11	6	111	401	778	102	3
9999	2	4	6	1	11	10967	10967	2	2	93.9227	37	160	0	2	4	31	115	41	3	8
9999	2	4	7	1	13	21056	21048	4	4	99.7921	128	721	1	8	12	107	165	519	37	4
9999	2	4	8	1	15	123120	119143	8	10	99.9177	607	5088	14	43	113	437	1727	3168	193	23
9999	2	4	9	1	17	34380	34380	4	4	100	185	1448	1	13	10	161	374	1006	68	2
9999	2	4	10	1	19	26093	26114	4	5	100	100	1049	2	3	7	88	362	637	50	11
9999	2	4	11	1	21	43757	43853	5	6	99.9818	166	1572	1	19	12	134	475	996	101	2
9999	2	4	12	1	23	13926	13926	4	4	95.9428	15	100	1	0	1	12	43	49	8	1
9999	2	4	13	1	25	25957	25957	5	5	79.9604	64	496	1	6	7	50	141	325	30	3
9999	2	4	14	1	27	13999	13999	3	3	100	45	133	0	3	0	42	30	91	12	0
9999	2	4	15	1	29	15044	3908	3	2	99.1236	14	149	0	1	1	12	35	106	8	0
9999	2	4	16	1	31	50613	50188	5	5	100	194	1493	1	18	33	142	447	959	87	8
9999	2	4	17	1	33	54690	54690	7	7	98.7164	221	1721	2	7	34	178	442	1178	101	0
9999	2	4	18	1	35	13284	12706	3	3	99.9948	85	404	1	9	9	66	109	269	26	3
9999	2	4	19	1	37	11595	9634	3	1	100	33	245	0	1	2	30	110	128	7	4
9999	2	4	20	1	39	37947	37947	9	9	77.6159	91	983	1	11	6	74	240	704	38	0
9999	2	4	21	1	41	13973	13785	5	4	86.9042	67	278	2	0	6	58	117	142	19	2
9999	2	4	22	1	43	80766	80793	3	4	100	165	2124	1	28	15	121	549	1477	98	1
9999	2	4	23	1	45	49177	50493	10	12	98.4008	238	1455	1	19	31	187	322	1032	101	6
9999	2	4	24	1	47	44031	44031	2	2	100	406	3078	3	22	82	299	986	1928	164	3
9999	2	4	25	1	49	71472	71451	14	14	99.1946	228	1787	4	26	11	187	521	1155	111	3
9999	2	4	26	1	51	79746	79685	6	7	98.0392	145	1913	2	23	24	96	584	1246	83	0
9999	2	4	27	1	53	38503	38503	5	5	100	230	1206	2	14	19	195	322	806	78	1
9999	2	4	28	1	55	104019	104933	8	9	99.5174	513	4621	5	42	85	381	1266	2994	362	25
9999	2	4	29	1	57	16550	17324	3	4	96.6694	27	248	0	0	1	26	69	166	13	3
9999	2	4	30	1	59	31857	31568	5	4	100	100	777	2	9	21	68	239	491	47	0
9999	2	4	31	1	61	26912	26919	5	6	100	94	619	0	10	6	78	148	425	46	3
9999	2	4	32	1	63	9089	8437	3	2	100	101	240	1	4	5	91	91	125	24	3
9999	2	4	33	1	65	16561	4223	3	2	100	13	53	0	1	1	11	13	37	3	0
