,aqi_good_2013,aqi_bad_2013,State,County,aqi_good_2014,aqi_bad_2014,aqi_good_2015,aqi_bad_2015,aqi_good_2016,aqi_bad_2016,aqi_good_2017,aqi_bad_2017
0,0.8608058608058609,0.0,Alabama,Baldwin,0.8285714285714286,0.0,0.8712121212121212,0.0,0.8853046594982079,0.0,0.8222222222222222,0.0
1,0.847457627118644,0.0,Alabama,Clay,0.8421052631578947,0.0,0.9017857142857143,0.0,0.9396551724137931,0.0,0.8448275862068966,0.0
2,0.8842105263157894,0.0,Alabama,Colbert,0.8838028169014085,0.0,0.8964285714285715,0.0,0.9148936170212766,0.0,0.9142857142857143,0.0
3,0.8861111111111111,0.0,Alabama,DeKalb,0.8694444444444445,0.0,0.8787878787878788,0.0,0.8735632183908046,0.0,0.9087136929460581,0.0
4,0.9385245901639344,0.0,Alabama,Elmore,0.9142857142857143,0.0,0.9570815450643777,0.0,0.9145299145299145,0.0,0.9523809523809523,0.0
5,0.8683274021352313,0.0,Alabama,Etowah,0.8683274021352313,0.0,0.6054794520547945,0.0,0.4602272727272727,0.0,0.6629213483146067,0.0
6,0.9087719298245615,0.0,Alabama,Houston,0.8637992831541219,0.0,0.9151943462897526,0.0,0.9464285714285714,0.0,0.8928571428571429,0.0
7,0.5260273972602739,0.0,Alabama,Jefferson,0.4328767123287671,0.0,0.5561643835616439,0.0,0.5218579234972678,0.0,0.42386831275720166,0.0
8,0.9357798165137615,0.0,Alabama,Lawrence,0.8846153846153846,0.0,0.9210526315789473,0.0,0.9830508474576272,0.0,1.0,0.0
9,0.8392857142857143,0.0,Alabama,Madison,0.8313609467455622,0.0,0.8648648648648649,0.0,0.8427299703264095,0.0,0.8562874251497006,0.0
10,0.8701754385964913,0.0,Alabama,Mobile,0.7859649122807018,0.0,0.7548209366391184,0.0,0.7568306010928961,0.0,0.7679558011049724,0.0
11,0.8421052631578947,0.0,Alabama,Montgomery,0.8274647887323944,0.0,0.6323119777158774,0.0,0.7851239669421488,0.0,0.7078651685393258,0.0056179775280898875
12,0.8439716312056738,0.0,Alabama,Morgan,0.8409893992932862,0.0,0.8273972602739726,0.0,0.8328767123287671,0.0,0.850828729281768,0.0
13,0.8169014084507042,0.0,Alabama,Russell,0.7676056338028169,0.0,0.5816023738872403,0.0,0.7470817120622568,0.0,0.8421052631578947,0.0
14,0.8491228070175438,0.0,Alabama,Shelby,0.8278388278388278,0.0,0.8521400778210116,0.0,0.8401639344262295,0.0,0.9543726235741445,0.0
15,0.9681818181818181,0.0,Alabama,Sumter,0.9626556016597511,0.0,0.7420382165605095,0.0,0.9375,0.0,0.9235294117647059,0.0
16,0.7719298245614035,0.0,Alabama,Talladega,0.7962962962962963,0.0,0.7102803738317757,0.0,0.8461538461538461,0.0,0.7833333333333333,0.0
17,0.919889502762431,0.0,Alabama,Tuscaloosa,0.8964285714285715,0.0,0.5406162464985994,0.0,0.6136986301369863,0.0,0.6140350877192983,0.0
18,1.0,0.0,Alaska,Aleutians East ,0.9904761904761905,0.0,1.0,0.0,0.9915966386554622,0.0,1.0,0.0
19,0.8547945205479452,0.0,Alaska,Anchorage ,0.7638888888888888,0.0,0.8337950138504155,0.0,0.7977839335180056,0.0,0.8176795580110497,0.0
20,0.9944289693593314,0.0,Alaska,Denali ,0.9765395894428153,0.0,0.9807162534435262,0.0,0.9972067039106145,0.0,1.0,0.0
21,0.5397260273972603,0.0,Alaska,Fairbanks North Star ,0.4835164835164835,0.0027472527472527475,0.46301369863013697,0.00821917808219178,0.5956284153005464,0.0,0.6805555555555556,0.0
22,0.8930635838150289,0.0,Alaska,Juneau ,0.8096590909090909,0.0,0.8433048433048433,0.0,0.8360655737704918,0.0,0.8939393939393939,0.0
23,0.8657534246575342,0.0,Alaska,Matanuska-Susitna ,0.7698630136986301,0.0027397260273972603,0.7835616438356164,0.0,0.8142076502732241,0.0,0.8342541436464088,0.0
24,0.9971988795518207,0.0,Arizona,Apache,0.9972602739726028,0.0,1.0,0.0,0.994535519125683,0.0,1.0,0.0
25,0.6,0.0,Arizona,Cochise,0.6164383561643836,0.0,0.7726027397260274,0.0,0.76775956284153,0.0,0.663003663003663,0.0
26,0.7197802197802198,0.0,Arizona,Coconino,0.7002801120448179,0.0,0.7178082191780822,0.0,0.8224043715846995,0.0,0.6776556776556777,0.0
27,0.17534246575342466,0.0027397260273972603,Arizona,Gila,0.26575342465753427,0.0,0.2273972602739726,0.0,0.226775956284153,0.0,0.15384615384615385,0.0
28,0.6166666666666667,0.0,Arizona,La Paz,0.7374301675977654,0.0,0.7583333333333333,0.0,0.8054794520547945,0.0,0.7030075187969925,0.0
29,0.13150684931506848,0.0,Arizona,Maricopa,0.11232876712328767,0.0027397260273972603,0.2328767123287671,0.0,0.16120218579234974,0.00273224043715847,0.31893687707641194,0.0
30,0.9581005586592178,0.0,Arizona,Mohave,0.9753424657534246,0.0,0.9752747252747253,0.0,0.9411764705882353,0.0,0.9806201550387597,0.0
31,0.673972602739726,0.0,Arizona,Navajo,0.7452054794520548,0.0,0.8684931506849315,0.0,0.8224043715846995,0.0,0.6974169741697417,0.0
32,0.5698630136986301,0.005479452054794521,Arizona,Pima,0.6027397260273972,0.0,0.673972602739726,0.0,0.5491803278688525,0.0,0.40293040293040294,0.0
33,0.26575342465753427,0.0136986301369863,Arizona,Pinal,0.1643835616438356,0.00821917808219178,0.2876712328767123,0.0,0.20765027322404372,0.00273224043715847,0.3805970149253731,0.0
