,COUNTY,NAME,ST,Population,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pov_rate
312,009,"New Haven County, Connecticut",09,62662,26048,326028,591088,835886,108533,61640.0,32852,879.0,245200.0,09,009,0.12984186838875159
313,011,"New London County, Connecticut",09,23617,9882,106495,188870,260973,25766,66233.0,34208,870.0,244000.0,09,011,0.09873052001548052
314,013,"Tolland County, Connecticut",09,12333,4193,54467,95408,136029,9511,79626.0,35446,889.0,247700.0,09,013,0.06991891434914614
315,015,"Windham County, Connecticut",09,9795,3876,44276,80386,112337,11999,59392.0,28140,706.0,197500.0,09,015,0.10681253727623134
316,001,"Kent County, Delaware",10,13996,5531,60571,110480,164093,22074,54976.0,25404,787.0,200500.0,10,001,0.13452127756820828
317,003,"New Castle County, Delaware",10,44916,17683,202268,369089,532852,60487,65476.0,32894,879.0,242400.0,10,003,0.11351557280445602
318,005,"Sussex County, Delaware",10,21297,12704,81183,151549,203875,25754,53751.0,28558,744.0,228500.0,10,005,0.12632250153280197
319,001,"District of Columbia, District of Columbia",11,50637,23065,273390,453952,613291,110365,70848.0,47675,1234.0,475800.0,11,001,0.17995535561421902
320,001,"Alachua County, Florida",12,17388,7382,96703,151184,239104,58203,43073.0,25498,712.0,164000.0,12,001,0.243421272751606
321,003,"Baker County, Florida",12,1820,575,8205,17786,24216,4393,47121.0,20471,529.0,114300.0,12,003,0.18140898579451603
322,005,"Bay County, Florida",12,12035,6480,67922,121739,172449,26235,47368.0,25246,737.0,157800.0,12,005,0.15213193465894265
323,007,"Bradford County, Florida",12,2205,762,8770,19499,23818,4896,41606.0,19739,518.0,89200.0,12,007,0.20555882105970275
324,009,"Brevard County, Florida",12,33720,16542,222791,405195,546775,76460,48925.0,27571,772.0,142200.0,12,009,0.13983814183164922
325,011,"Broward County, Florida",12,106856,48853,670284,1286262,1827525,265880,51968.0,28381,1061.0,185900.0,12,011,0.14548638185524138
326,013,"Calhoun County, Florida",12,1530,542,4784,10326,12482,2407,34510.0,16536,398.0,75500.0,12,013,0.19283768626822625
327,015,"Charlotte County, Florida",12,10415,5802,71856,134210,162112,19760,44244.0,26984,737.0,145700.0,12,015,0.12189103829451244
328,017,"Citrus County, Florida",12,7952,4085,61012,110144,136990,23903,38312.0,23979,617.0,112300.0,12,017,0.17448718884590117
329,019,"Clay County, Florida",12,10016,4138,69053,131378,195648,20580,58290.0,26464,822.0,153000.0,12,019,0.10518891069676153
330,021,"Collier County, Florida",12,19828,11432,129888,254178,337451,47436,57452.0,38297,918.0,272800.0,12,021,0.140571520013276
331,023,"Columbia County, Florida",12,4439,1734,23708,46593,62900,12498,41926.0,20563,592.0,103500.0,12,023,0.19869634340222575
332,027,"DeSoto County, Florida",12,2785,1101,11238,23946,33030,10123,35165.0,16441,533.0,80400.0,12,027,0.30647895852255524
333,029,"Dixie County, Florida",12,1316,692,6051,11981,14493,3061,36292.0,17850,446.0,73800.0,12,029,0.21120540950803837
334,031,"Duval County, Florida",12,52500,23769,337900,597484,870858,150792,47690.0,26543,770.0,142300.0,12,031,0.1731533728805385
335,033,"Escambia County, Florida",12,20533,9252,113660,202078,286927,45308,45390.0,24161,710.0,120200.0,12,033,0.15790776051051314
